MPN,ICT P/N,DESC,Manufacturer,Group,WH PIC
RC0201JR-074K7L,13000-S000783H-00,"RES,0201,4.7K,5%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A06
RC0201JR-0762RL,13000-S001470H-00,"RES,0201,62R,5%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A06
RC0402FR-07100KL,13000-S002095H-00,"RES,0402,100K,1%,0402,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A07
RC0402FR-0710K7L,13000-S000224H-00,"RES,10.7K,RC0402FR-0710K7L,YAGEO,HF",YAGEO,0-RES電阻類,A07
RC0402FR-0710KL,13000-S000158H-00,"RES,0402,10KΩ,1%,1/16W,HF,Yageo",YAGEO,0-RES電阻類,A07
RC0402FR-07113RL,,,YAGEO,0-RES電阻類,A07
RC0402FR-0711KL,13000-S00175HH-00,"RES,1/16W,11K,1%,0402,HF,YAGEO",YAGEO,0-RES電阻類,A07
RC0402FR-07121RL,,,YAGEO,0-RES電阻類,A07
RC0402FR-0712K7L,13000-S000346H-00,"RES,0402,12.7K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A07
RC0402FR-07133RL,13000-S001371H-00,"RES,0402,133R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A07
RC0402FR-0713K7L,,,YAGEO,0-RES電阻類,A07
RC0402FR-0716K5L,13000-S000826H-00,"RES,0402,16.5K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A07
RC0402FR-0716K9L,13000-S001177H-00,"16.9K,1%,0402,RC0402FR-0716K9L,YAGEO,HF",YAGEO,0-RES電阻類,A07
RC0402FR-07178KL,,,YAGEO,0-RES電阻類,A07
RC0402FR-0718K2L,,,YAGEO,0-RES電阻類,A07
RC0402FR-071K15L,13000-S000237H-00,"RES,0402,1.15KΩ,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A07
RC0402FR-071K62L,,,YAGEO,0-RES電阻類,A07
RC0402FR-071KL,13000-S000824H-00,"RES,0402,1K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A07
RC0402FR-071ML,13000-S00109HH-00,1M_0402_1%,YAGEO,0-RES電阻類,A07
"RC0402FR-071ML,",13000-S00109HH-00,"RES,1/16W,1M,1%,0402,HF,YAGEO,",YAGEO,0-RES電阻類,A07
RC0402FR-07200KL,13000-S000520H-00,"RES,0402,200K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A08
RC0402FR-07200RL,13000-S000271H-00,"RES,0402,200R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A08
RC0402FR-0720KL,13000-S000154H-00,"RES,0402,20K,1%,1/16W,RC0402FR-0720KL,HF",YAGEO,0-RES電阻類,A08
RC0402FR-0721K5L,13000-S00001FH-00,"0402,21.5K,1%,RC0402FR-0721K5L,YAGEO",YAGEO,0-RES電阻類,A08
RC0402FR-07220RL,13000-S000293H-00,"RES,0402,220R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A08
RC0402FR-07232L,13000-S002025H-00,"RES,0402,232R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A08
RC0402FR-07232RL,,,YAGEO,0-RES電阻類,A08
RC0402FR-0726K7L,,,YAGEO,0-RES電阻類,A08
RC0402FR-0728K7L,,,YAGEO,0-RES電阻類,A08
RC0402FR-072K2L,13000-S000882H-00,"RES,0402,2.2K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A08
RC0402FR-072K4L,13000-S00209HH-00,"RES,0402,2.4K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A08
RC0402FR-072KL,13000-S000528H-00,"RES,0402,2K,1%,RC0402FR-072KL,YAGEO,HF",YAGEO,0-RES電阻類,A08
RC0402FR-0730KL,13000-S000584H-00,"RES,0402,30K OHM,1%,1/8W,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-07330RL,13000-S00157HH-00,"RES,1/16W,330R,1%,0402,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-0733RL,13000-S00064HH-00,"RES,1/16W,33R,1%,0402,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-0739K2L,13000-S000394H-00,"RES,0402,39.2k,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-0739KRL,,,YAGEO,0-RES電阻類,A09
RC0402FR-0739RL,13000-S001359H-00,"RES,0402,39R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-073K09L,,,YAGEO,0-RES電阻類,A09
RC0402FR-07402KL,13000-S001381H-00,"RES,0402,402K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-07402RL,,,YAGEO,0-RES電阻類,A09
RC0402FR-0745R3L,13000-S001379H-00,"RES,0402,45.3R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-0747KL,,,YAGEO,0-RES電阻類,A09
RC0402FR-0748K7L,,,YAGEO,0-RES電阻類,A09
RC0402FR-0749K9L,13000-S000208H-00,"RES,0402,49.9K,RC0402FR-0749K9L,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-074K7L,13000-S000160H-00,"RES,0402,4.7KΩ,1%,1/16W,HF,Yageo",YAGEO,0-RES電阻類,A09
RC0402FR-074K99L,13000-S000419H-00,"RES,0402,4.99K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A09
RC0402FR-0752K3L,,,YAGEO,0-RES電阻類,A10
RC0402FR-07560RL,13000-S001314H-00,"RES,0402,560Ω,±1％,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A10
RC0402FR-0756RL,,,YAGEO,0-RES電阻類,A10
RC0402FR-07576RL,,,YAGEO,0-RES電阻類,A10
RC0402FR-075R1L,13000-S001251H-00,RES 5.1ohm 1/16W 1% 0402 HF,YAGEO,0-RES電阻類,A10
RC0402FR-0760R4L,,,YAGEO,0-RES電阻類,A10
RC0402FR-07681L,13000-S002016H-00,"RES,0402,681R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A10
RC0402FR-07681RL,,,YAGEO,0-RES電阻類,A10
RC0402FR-07698RL,13000-S000529H-00,"RES,0402,698R,1%,RC0402FR-07698RL,YAGEO",YAGEO,0-RES電阻類,A10
RC0402FR-076K2L,,,YAGEO,0-RES電阻類,A10
RC0402FR-076K8L,13000-S00062HH-00,"RES,1/16W,6.8K,1%,0402,HF,YAGEO,",YAGEO,0-RES電阻類,A10
RC0402FR-076K98L,13000-S000566H-00,"RES,6.98K,0402,RC0402FR-076K98L,Yageo,HF",YAGEO,0-RES電阻類,A10
RC0402FR-07715KL,13000-S001360H-00,"RES,0402,715K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A10
RC0402FR-0775RL,13000-S000371H-00,"RES,0402,75R,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A10
RC0402FR-077K15L,13000-S001277H-00,"RES,0402,7.15Kohm,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A10
RC0402FR-078K87L,,,YAGEO,0-RES電阻類,A10
RC0402FR-079K09L,,,YAGEO,0-RES電阻類,A10
RC0402FR-13178KL,13000-S000491H-00,"RES,0402,178K,1%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A10
RC0402JR-070RL,13000-S000043H-00,"0402,0R,5%,1/16W,RC0402JR-070RL,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-07100KL,13000-S000368H-00,"RES,0402,100K,5%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-0710KL,,,YAGEO,0-RES電阻類,A11
RC0402JR-0710ML,13000-S000181H-00,"0402,10M,5%,1/16W,RC0402JR-0710ML,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-07133RL,13000-S001371H-00,133_0402_5%,YAGEO,0-RES電阻類,A11
RC0402JR-07150KL,13000-S001042H-00,"RES,150K,5%,HF,RC0402JR-07150KL,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-071KL,13000-S000042H-00,"0402,1K,5%,1/16W,RC0402JR-071KL,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-071ML,13000-S000082H-00,"RES,0402,1M,5%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-0747KL,13000-S000266H-00,"RES,0402,47K,5%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-074K7L,13000-S000204H-00,"RES,0402,4.7K,5%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-074R7L,13000-S001240H-00,RES 4.7ohm 1/16W 5%  0402 HF,YAGEO,0-RES電阻類,A11
RC0402JR-0750RL,13000-S001469H-00,"RES,0402,50R,5%,1/16W,HF,YAGEO",YAGEO,0-RES電阻類,A11
RC0402JR-0756RL,13000-S000206H-00,"RES,0402,56R,RC0402JR-0756RL,HF,YAGEO",YAGEO,0-RES電阻類,A11
RC0603FR-0710K5L,13000-S001392H-00,"RES,0603,10.5KΩ ±1％,1/10W,HF,YAGEO",YAGEO,0-RES電阻類,A12
RC0603JR-070RL,13000-S001092H-00,"RES,SMD,0 OHM,5%,1/10W,0603,HF,YAGEO",YAGEO,0-RES電阻類,A12
RC0603LR-070RL,,,YAGEO,0-RES電阻類,A12
RLM12FTCMR010,13000-S03191HH-00,"RES,1W,0.01R,1%,1206,HF,TA-I",TA-I,0-RES電阻類,A12
RLS04FTKR010,,,TA-I,0-RES電阻類,A12
RLS06FTSR010,,,TA-I,0-RES電阻類,A12
RLS10FTSR010,,,TA-I,0-RES電阻類,A12
RLS12FTCR005 ,,,TA-I,0-RES電阻類,A12
RLS12FTCR020,13000-S03165HH-00,"RES,1W,0.02R,1%,1206,HF,TA-I",TA-I,0-RES電阻類,A12
RM02FTN1002,,,TA-I,0-RES電阻類,A12
RM02FTN1003,,,TA-I,0-RES電阻類,A12
RM02FTN2000,,,TA-I,0-RES電阻類,A12
RM02FTN2201,,,TA-I,0-RES電阻類,A12
RM02FTN2203,,,TA-I,0-RES電阻類,A12
RM02FTN2R20,13000-S030613H-00,"RES,0201,2.2R,1%,1/20W,HF,TA-I",TA-I,0-RES電阻類,A12
RM02FTN3321,,,TA-I,0-RES電阻類,A12
RM02JTN0,,,TA-I,0-RES電阻類,A12
RM02JTN101,,,TA-I,0-RES電阻類,A12
RM02JTN102,,,TA-I,0-RES電阻類,A12
RM02JTN103,13000-S03000OH-00,"0201,10K,5%,1/20W,RM02JTN103,HF,TA-I",TA-I,0-RES電阻類,A12
RM02JTN104,,,TA-I,0-RES電阻類,A12
RM02JTN472,,,TA-I,0-RES電阻類,A12
RM02JTN473,,,TA-I,0-RES電阻類,A12
RM04FTN1000,,,TA-I,0-RES電阻類,A12
RM04FTN1001,,,TA-I,0-RES電阻類,A12
RM04FTN1002,,,TA-I,0-RES電阻類,A12
RM04FTN1003,,,TA-I,0-RES電阻類,A12
RM04FTN1151,,,TA-I,0-RES電阻類,A12
RM04FTN1333,,,TA-I,0-RES電阻類,A12
RM04FTN1501,,,TA-I,0-RES電阻類,A12
RM04FTN1601,,,TA-I,0-RES電阻類,A12
RM04FTN1652,,16.5K_0402_1%,TA-I,0-RES電阻類,A12
RM04FTN2002,,,TA-I,0-RES電阻類,A12
RM04FTN2003,,,TA-I,0-RES電阻類,A12
RM04FTN2004,,,TA-I,0-RES電阻類,A12
RM04FTN2200,,,TA-I,0-RES電阻類,A12
RM04FTN2201,,,TA-I,0-RES電阻類,A12
RM04FTN2R00,13000-S030874H-00,"RES,0402,2R,1%,1/16W,RM04FTN2R00,TA-I",TA-I,0-RES電阻類,A12
RM04FTN3322,13000-S030339H-00,"RES,0402,33.2K,1%,1/16W,RM04FTN3322,TA-I",TA-I,0-RES電阻類,A12
RM04FTN33R0,,,TA-I,0-RES電阻類,A12
RM04FTN39R0,,,TA-I,0-RES電阻類,A12
RM04FTN4533,,,TA-I,0-RES電阻類,A12
RM04FTN4701,,,TA-I,0-RES電阻類,A12
RM04FTN4991,,,TA-I,0-RES電阻類,A12
RM04FTN4992,,,TA-I,0-RES電阻類,A12
RM04FTN5R10,,,TA-I,0-RES電阻類,A12
RM04FTN6041,,,TA-I,0-RES電阻類,A12
RM04FTN6980,,,TA-I,0-RES電阻類,A12
RM04FTN7152,,,TA-I,0-RES電阻類,A12
RM04FTN7153,,,TA-I,0-RES電阻類,A12
RM04FTN9531,,,TA-I,0-RES電阻類,A12
RM04JTN0,,,TA-I,0-RES電阻類,A12
RM04JTN100,,,TA-I,0-RES電阻類,A12
RM04JTN101,13000-S030058H-00,"RES,0402,100R,5%,1/16W,RM04JTN101,TA-I",TA-I,0-RES電阻類,A12
RM04JTN103,,,TA-I,0-RES電阻類,A12
RM04JTN104,,,TA-I,0-RES電阻類,A12
RM04JTN105,,,TA-I,0-RES電阻類,A12
RM04JTN106,,,TA-I,0-RES電阻類,A12
RM04JTN154,,,TA-I,0-RES電阻類,A12
RM04JTN201,13000-S03148HH-00,"RES,1/16W,200R,5%,0402,HF,TA-I",TA-I,0-RES電阻類,A12
RM04JTN222,13000-S000196H-00,"RES,0402,2.2K,RC0402JR-072K2L,HF,YAGEO",YAGEO,0-RES電阻類,A12
RM04JTN223,13000-S030235H-00,"RES,0402,22K,5%,1/16W,HF,TA-I",TA-I,0-RES電阻類,A12
RM04JTN330,13000-S030340H-00,"RES,0402,33R,5%,1/16W,RM04JTN330,HF,TA-I",TA-I,0-RES電阻類,A12
RM04JTN472,,,TA-I,0-RES電阻類,A12
RM04JTN473,,,TA-I,0-RES電阻類,A12
RM04JTN560,,,TA-I,0-RES電阻類,A12
RM06FTN2R20,13000-S030709H-00,"RES,2.2ohm,1/10W,1%,0603,HF",TA-I,0-RES電阻類,A13
RM06JTN0,,,TA-I,0-RES電阻類,A13
RM10JTN0,13000-S03000GH-00,"RES,0805,0R,5%,1/8W,RM10JTN0,HF,TA-I",TA-I,0-RES電阻類,A13
RMS04FT49R9,13000-S030311H-00,"RES,0402,49.9R,1%,1/16W,HF,TA-I",TA-I,0-RES電阻類,A13
RMS04FT62R0,13000-S030292H-00,"RES,0402,62R,1%,1/16W,HF,TA-I",TA-I,0-RES電阻類,A13
RTT02103JTH,13000-S020180H-00,"RES,0402,10K,5%,RTT02103JTH,HF,RALEC",RALEC,0-RES電阻類,A13
RTT021471FTH,13000-S020725H-00,"RES,0402,1.47Kohm,1%,1/16W,HF,RALEC",RALEC,0-RES電阻類,A13
RTT022373FTH,13000-S020279H-00,,,0-RES電阻類,A13
RTT022491FTH,13000-S020241H-00,,,0-RES電阻類,A13
RTT024422FTH,13000-S020422H-00,"RES,44.2K,1%,0402,RTT024422FTH,Ralec,HF",Ralec,0-RES電阻類,A13
RTT024R70FTH,13000-S020458H-00,,,0-RES電阻類,A13
RTT0275R0FTH,13000-S020245H-00,,,0-RES電阻類,A13
WR04X1000FTL,13000-S010428H-00,"RES,0402,100R,1%,1/16W,HF,WALSIN",WALSIN,0-RES電阻類,A14
WR04X100JTL,13000-S010584H-00,"RES,0402,10R,5%,HF,WR04X100JTL,WALSIN",WALSIN,0-RES電阻類,A14
WR04X1212FTL,,,WALSIN,0-RES電阻類,A14
WR04X1542FTL,13000-S010746H-00,"RES,0402,15.4Kohm,1%,1/16W,HF,WALSIN",WALSIN,0-RES電阻類,A14
WR04X2000FTL,,,WALSIN,0-RES電阻類,A14
WR04X204JTL,13000-S010606H-00,"RES,0402,200K,5%,HF,WR04X204JTL,WALSIN",WALSIN,0-RES電阻類,A14
WR04X2R2 JTL,13000-S010233H-00,"RES,0402,2.2R,5%,1/16W,HF,WALSIN",WALSIN,0-RES電阻類,A14
WR04X2R2JTL,13000-S010233H-00,2.2_0402_5%,WALSIN,0-RES電阻類,A14
WR04X3480FTL,,,WALSIN,0-RES電阻類,A14
WR04X4122FTL,13000-S012042H-00,"RES,0402,41.2Kohm,1%,1/16W,HF,WALSIN",WALSIN,0-RES電阻類,A14
WR04X4533FTL,13000-S010209H-00,"RES,0402,453K,1%,1/16W,WALSIN,HF",WALSIN,0-RES電阻類,A14
WR04X6192FTLW,13000-S01038HH-00,"RES,1/16W,61.9K,1%,0402,HF,WALSIN",WALSIN,0-RES電阻類,A14
WR04X8202FTL,,,WALSIN,0-RES電阻類,A14
WR04X9531FTL,13000-S010372H-00,"RES,0402,9.53Kohm,1%,1/16W,HF,WALSIN",WALSIN,0-RES電阻類,A14
0201N270J250CT,13100-S030088H-00,"C/C,0201,27PF,5%,25V,C0G,HF,WALSIN",WALSIN,1-CAP電容類,A15
0402N471J500CT,,,WALSIN,1-CAP電容類,A15
25TQC100MD3,13102-S0F0005H-00,"T P/C,S,B,100uF,20%,25V,PANASONIC",PANASONIC,1-CAP電容類,A15
25TQC33MYF,13101-S0F0021H-00,"AL E/C,D2,33UF,20%,25V,105C,HF,Panasonic",PANASONIC,1-CAP電容類,A15
AC0402KRX7R8BB104,,,YAGEO,1-CAP電容類,A15
C0201X5R104K250NTJ,13100-S080265H-00 ,"C/C,0201,100nF,10%,25V,X5R,HF,EYANG",EYANG,1-CAP電容類,A15
C0402B225M007T,13100-S070014H-00,"C/C,2.2UF,6.3V,20%,X5R,0402,HOLYSTONE,HF",HOLYSTONE,1-CAP電容類,A15
C0402T102K5RACTU,13100-S001228H-00,"MLCC,0402,50V,1000pF,±10%,X7R,MURATA",MURATA,1-CAP電容類,A15
C0603B226M010T,,,HOLYSTONE,1-CAP電容類,A15
C0603B475K025T,,,HOLYSTONE,1-CAP電容類,A15
C1005X7R1H681KT,13100-S040017H-00,"C/C,680PF,0402,50V,10%,X7R,0402,TDK,HF",TDK,1-CAP電容類,A15
CC0201JRNPO8BN101,13100-S021028H-00,"C/C,100pF,5%,25V,0201,HF,YAGEO",YAGEO,1-CAP電容類,A16
CC0201JRNPO8BN180,,,YAGEO,1-CAP電容類,A16
CC0201JRNPO9BN120,13100-S020019H-00,"0201,12PF,5%,50V,CC0201JRNPO9BN120,YAGEO",YAGEO,1-CAP電容類,A16
CC0201JRNPO9BN150,13100-S020492H-00,CAP CER 15PF 50V 5% COG 0201,YAGEO,1-CAP電容類,A16
CC0201KRX5R5BB104,13100-S020191H-00,"C/C,0.1uF,10%,6.3V,0201,HF,Yageo",YAGEO,1-CAP電容類,A16
CC0201KRX5R5BB224,13100-S020139H-00,"C/C,0201,220nF,10%,6.3V,X5R,HF,YAGEO",YAGEO,1-CAP電容類,A16
CC0201KRX7R9BB391,,,YAGEO,1-CAP電容類,A16
CC0201MRX5R8BB104,13100-S020668H-00,"C/C,0201,100NF,20%,25V,X5R,HF,YAGEO",YAGEO,1-CAP電容類,A16
CC0402CRNPO9BN3R0,,,YAGEO,1-CAP電容類,A17
CC0402FRNPO9BN100,13100-S020479H-00,CAP CER 10pF 50V 1% C0G 0402,YAGEO,1-CAP電容類,A17
CC0402GRNFO9BN820,,,YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN100,13100-S02020HH-00,"C/C,S,50V,0.01nF,5%,0402,NP0,HF,YAGEO",YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN101,13100-S020146H-00,"CAP,0402,100pF,5%,50V,C0G,HF,YAGEO",YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN120,13100-S02000SH-00,"C/C,0402,12PF,5%,50V,C0G,HF,YAGEO",YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN180,,,YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN200,13100-S020320H-00,"C/C,0402,20pF,5%,50V,NP0,HF,YAGEO",YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN330,13100-S020324H-00,"0402,33PF,5%,50V,CC0402JRNPO9BN330,YAGEO",YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN470,,,YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN471,,,YAGEO,1-CAP電容類,A17
CC0402JRNPO9BN680,,,YAGEO,1-CAP電容類,A17
CC0402KRX5R5BB105,13100-S020105H-00,"C/C,0402,1UF,10%,6.3V,X5R,HF,YAGEO",YAGEO,1-CAP電容類,A18
CC0402KRX5R5BB225,,,YAGEO,1-CAP電容類,A18
CC0402KRX5R6BB224,13100-S02000NH-00,"0402,220NF,10%,CC0402KRX5R6BB224,YAGEO",YAGEO,1-CAP電容類,A18
CC0402KRX5R8BB104,13100-S020603H-00,"C/C,0402,100NF,10%,CC0402KRX5R8BB104",YAGEO,1-CAP電容類,A18
CC0402KRX5R8BB474,13100-S020096H-00,"C/C,0402,470nF,10%,25V,X5R,HF,YAGEO",YAGEO,1-CAP電容類,A18
CC0402KRX6S6BB225,13100-S021025H-00,"CAP,0402,2.2uF,+/-10%,10V,X6S,HF,Yageo",YAGEO,1-CAP電容類,A18
CC0402KRX7R6BB104,13100-S020647H-00,"C/C,0402,100nF,10%,10V,X7R,Yageo,HF",YAGEO,1-CAP電容類,A18
CC0402KRX7R6BB273,13100-S020667H-00,"C/C,0402,27NF,10%,10V,X7R,HF,YAGEO",YAGEO,1-CAP電容類,A18
CC0402KRX7R7BB104,,,YAGEO,1-CAP電容類,A18
CC0402KRX7R8BB103,13100-S020708H-00,"C/C,0402,10nF,10%,25V,X7R,HF,YAGEO",YAGEO,1-CAP電容類,A18
CC0402KRX7R8BB223,,,YAGEO,1-CAP電容類,A18
CC0402KRX7R8BB473,,,YAGEO,1-CAP電容類,A18
